Economy_Label,2002_US_at_current_prices_in_millions_Value,2002_US_at_current_prices_Footnote,2002_US_at_current_prices_MissingValue,2003_US_at_current_prices_in_millions_Value,2003_US_at_current_prices_Footnote,2003_US_at_current_prices_MissingValue,2004_US_at_current_prices_in_millions_Value,2004_US_at_current_prices_Footnote,2004_US_at_current_prices_MissingValue,2005_US_at_current_prices_in_millions_Value,2005_US_at_current_prices_Footnote,2005_US_at_current_prices_MissingValue,2006_US_at_current_prices_in_millions_Value,2006_US_at_current_prices_Footnote,2006_US_at_current_prices_MissingValue,2007_US_at_current_prices_in_millions_Value,2007_US_at_current_prices_Footnote,2007_US_at_current_prices_MissingValue,2008_US_at_current_prices_in_millions_Value,2008_US_at_current_prices_Footnote,2008_US_at_current_prices_MissingValue,2009_US_at_current_prices_in_millions_Value,2009_US_at_current_prices_Footnote,2009_US_at_current_prices_MissingValue,2010_US_at_current_prices_in_millions_Value,2010_US_at_current_prices_Footnote,2010_US_at_current_prices_MissingValue,2011_US_at_current_prices_in_millions_Value,2011_US_at_current_prices_Footnote,2011_US_at_current_prices_MissingValue,2012_US_at_current_prices_in_millions_Value,2012_US_at_current_prices_Footnote,2012_US_at_current_prices_MissingValue,2013_US_at_current_prices_in_millions_Value,2013_US_at_current_prices_Footnote,2013_US_at_current_prices_MissingValue,2014_US_at_current_prices_in_millions_Value,2014_US_at_current_prices_Footnote,2014_US_at_current_prices_MissingValue,2015_US_at_current_prices_in_millions_Value,2015_US_at_current_prices_Footnote,2015_US_at_current_prices_MissingValue,2016_US_at_current_prices_in_millions_Value,2016_US_at_current_prices_Footnote,2016_US_at_current_prices_MissingValue,2017_US_at_current_prices_in_millions_Value,2017_US_at_current_prices_Footnote,2017_US_at_current_prices_MissingValue,2018_US_at_current_prices_in_millions_Value,2018_US_at_current_prices_Footnote,2018_US_at_current_prices_MissingValue,2019_US_at_current_prices_in_millions_Value,2019_US_at_current_prices_Footnote,2019_US_at_current_prices_MissingValue,2020_US_at_current_prices_in_millions_Value,2020_US_at_current_prices_Footnote,2020_US_at_current_prices_MissingValue,2021_US_at_current_prices_in_millions_Value,2021_US_at_current_prices_Footnote,2021_US_at_current_prices_MissingValue,2022_US_at_current_prices_in_millions_Value,2022_US_at_current_prices_Footnote,2022_US_at_current_prices_MissingValue,2023_US_at_current_prices_in_millions_Value,2023_US_at_current_prices_Footnote,2023_US_at_current_prices_MissingValue,2024_US_at_current_prices_in_millions_Value,2024_US_at_current_prices_Footnote,2024_US_at_current_prices_MissingValue
"Netherlands (Kingdom of the)",0,,,0,,,0,,,1,,,1,,,9,,,13,,,1,,,1,,,3,,,1,,,4,,,20,,,12,,,12,,,29,,,17,,,6,,,5,,,4,,,4,,,5,,,5,,
"Poland",,,,,,,,,,,,,,,,0,,,0,,,0,,,0,,,2,,,16,,,6,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,1,,,0,,,0,,
"Portugal",0,,,0,,,1,,,0,,,1,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,1,,,1,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,
"Romania",,,,,,,,,,,,,,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,
"Slovakia",,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,
"Slovenia",,,,,,,,,,,,,,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,
"Spain",0,,,0,,,0,,,0,,,0,,,0,,,0,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,4,,,2,,,0,,,0,,,1,,,1,,
"Sweden",0,,,0,,,0,,,0,,,0,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,4,,,4,,,3,,,2,,,2,,,1,,
"United Kingdom",2,"Including Channel Islands and Isle of Man",,2,"Including Channel Islands and Isle of Man",,2,"Including Channel Islands and Isle of Man",,2,"Including Channel Islands and Isle of Man",,3,"Including Channel Islands and Isle of Man",,17,"Including Channel Islands and Isle of Man",,21,"Including Channel Islands and Isle of Man",,,,,11,"Including Channel Islands and Isle of Man",,7,"Including Channel Islands and Isle of Man",,6,"Including Channel Islands and Isle of Man",,8,"Including Channel Islands and Isle of Man",,7,"Including Channel Islands and Isle of Man",,9,"Including Channel Islands and Isle of Man",,6,"Including Channel Islands and Isle of Man",,5,"Including Channel Islands and Isle of Man",,16,"Including Channel Islands and Isle of Man",,18,"Including Channel Islands and Isle of Man",,3,"Including Channel Islands and Isle of Man",,5,"Including Channel Islands and Isle of Man",,6,"Including Channel Islands and Isle of Man",,11,"Including Channel Islands and Isle of Man",,7,"Including Channel Islands and Isle of Man",
"United States",230,"Including Puerto Rico and United States Virgin Islands",,185,"Including Puerto Rico and United States Virgin Islands",,205,"Including Puerto Rico and United States Virgin Islands",,131,"Including Puerto Rico and United States Virgin Islands",,139,"Including Puerto Rico and United States Virgin Islands",,165,"Including Puerto Rico and United States Virgin Islands",,126,"Including Puerto Rico and United States Virgin Islands",,82,"Including Puerto Rico and United States Virgin Islands",,83,"Including Puerto Rico and United States Virgin Islands",,54,"Including Puerto Rico and United States Virgin Islands",,75,"Including Puerto Rico and United States Virgin Islands",,96,"Including Puerto Rico and United States Virgin Islands",,90,"Including Puerto Rico and United States Virgin Islands",,55,"Including Puerto Rico and United States Virgin Islands",,88,"Including Puerto Rico and United States Virgin Islands",,47,"Including Puerto Rico and United States Virgin Islands",,57,"Including Puerto Rico and United States Virgin Islands",,57,"Including Puerto Rico and United States Virgin Islands",,65,"Including Puerto Rico and United States Virgin Islands",,88,"Including Puerto Rico and United States Virgin Islands",,76,"Including Puerto Rico and United States Virgin Islands",,112,"Including Puerto Rico and United States Virgin Islands",,100,"Including Puerto Rico and United States Virgin Islands",
"European Union (2020 …)",6,,,9,,,8,,,5,,,13,,,69,,,95,,,61,,,67,,,82,,,91,,,103,,,95,,,81,,,80,,,106,,,93,,,81,,,60,,,55,,,59,,,53,,,50,,
