Economy_Label,2002_US_at_current_prices_in_millions_Value,2002_US_at_current_prices_Footnote,2002_US_at_current_prices_MissingValue,2003_US_at_current_prices_in_millions_Value,2003_US_at_current_prices_Footnote,2003_US_at_current_prices_MissingValue,2004_US_at_current_prices_in_millions_Value,2004_US_at_current_prices_Footnote,2004_US_at_current_prices_MissingValue,2005_US_at_current_prices_in_millions_Value,2005_US_at_current_prices_Footnote,2005_US_at_current_prices_MissingValue,2006_US_at_current_prices_in_millions_Value,2006_US_at_current_prices_Footnote,2006_US_at_current_prices_MissingValue,2007_US_at_current_prices_in_millions_Value,2007_US_at_current_prices_Footnote,2007_US_at_current_prices_MissingValue,2008_US_at_current_prices_in_millions_Value,2008_US_at_current_prices_Footnote,2008_US_at_current_prices_MissingValue,2009_US_at_current_prices_in_millions_Value,2009_US_at_current_prices_Footnote,2009_US_at_current_prices_MissingValue,2010_US_at_current_prices_in_millions_Value,2010_US_at_current_prices_Footnote,2010_US_at_current_prices_MissingValue,2011_US_at_current_prices_in_millions_Value,2011_US_at_current_prices_Footnote,2011_US_at_current_prices_MissingValue,2012_US_at_current_prices_in_millions_Value,2012_US_at_current_prices_Footnote,2012_US_at_current_prices_MissingValue,2013_US_at_current_prices_in_millions_Value,2013_US_at_current_prices_Footnote,2013_US_at_current_prices_MissingValue,2014_US_at_current_prices_in_millions_Value,2014_US_at_current_prices_Footnote,2014_US_at_current_prices_MissingValue,2015_US_at_current_prices_in_millions_Value,2015_US_at_current_prices_Footnote,2015_US_at_current_prices_MissingValue,2016_US_at_current_prices_in_millions_Value,2016_US_at_current_prices_Footnote,2016_US_at_current_prices_MissingValue,2017_US_at_current_prices_in_millions_Value,2017_US_at_current_prices_Footnote,2017_US_at_current_prices_MissingValue,2018_US_at_current_prices_in_millions_Value,2018_US_at_current_prices_Footnote,2018_US_at_current_prices_MissingValue,2019_US_at_current_prices_in_millions_Value,2019_US_at_current_prices_Footnote,2019_US_at_current_prices_MissingValue,2020_US_at_current_prices_in_millions_Value,2020_US_at_current_prices_Footnote,2020_US_at_current_prices_MissingValue,2021_US_at_current_prices_in_millions_Value,2021_US_at_current_prices_Footnote,2021_US_at_current_prices_MissingValue,2022_US_at_current_prices_in_millions_Value,2022_US_at_current_prices_Footnote,2022_US_at_current_prices_MissingValue,2023_US_at_current_prices_in_millions_Value,2023_US_at_current_prices_Footnote,2023_US_at_current_prices_MissingValue,2024_US_at_current_prices_in_millions_Value,2024_US_at_current_prices_Footnote,2024_US_at_current_prices_MissingValue
"Malta",0,"Including Channel Islands and Isle of Man",,0,"Including Channel Islands and Isle of Man",,0,"Including Channel Islands and Isle of Man",,0,"Including Channel Islands and Isle of Man",,0,"Including Channel Islands and Isle of Man",,2,"Including Channel Islands and Isle of Man",,2,"Including Channel Islands and Isle of Man",,0,"Including Channel Islands and Isle of Man",,0,"Including Channel Islands and Isle of Man",,,,,0,"Including Channel Islands and Isle of Man",,0,"Including Channel Islands and Isle of Man",,0,"Including Channel Islands and Isle of Man",,1,"Including Channel Islands and Isle of Man",,0,"Including Channel Islands and Isle of Man",,0,"Including Channel Islands and Isle of Man",,0,"Including Channel Islands and Isle of Man",,0,"Including Channel Islands and Isle of Man",,0,"Including Channel Islands and Isle of Man",,0,"Including Channel Islands and Isle of Man",,0,"Including Channel Islands and Isle of Man",,0,"Including Channel Islands and Isle of Man",,0,"Including Channel Islands and Isle of Man",
"Netherlands (Kingdom of the)",48,"Including Channel Islands and Isle of Man",,48,"Including Channel Islands and Isle of Man",,102,"Including Channel Islands and Isle of Man",,102,"Including Channel Islands and Isle of Man",,81,"Including Channel Islands and Isle of Man",,262,"Including Channel Islands and Isle of Man",,333,"Including Channel Islands and Isle of Man",,207,"Including Channel Islands and Isle of Man",,244,"Including Channel Islands and Isle of Man",,232,"Including Channel Islands and Isle of Man",,257,"Including Channel Islands and Isle of Man",,294,"Including Channel Islands and Isle of Man",,272,"Including Channel Islands and Isle of Man",,247,"Including Channel Islands and Isle of Man",,236,"Including Channel Islands and Isle of Man",,213,"Including Channel Islands and Isle of Man",,207,"Including Channel Islands and Isle of Man",,212,"Including Channel Islands and Isle of Man",,122,"Including Channel Islands and Isle of Man",,120,"Including Channel Islands and Isle of Man",,157,"Including Channel Islands and Isle of Man",,197,"Including Channel Islands and Isle of Man",,246,"Including Channel Islands and Isle of Man",
"Poland",0,"Including Channel Islands and Isle of Man",,,,,0,"Including Channel Islands and Isle of Man",,0,"Including Channel Islands and Isle of Man",,0,"Including Channel Islands and Isle of Man",,141,"Including Channel Islands and Isle of Man",,142,"Including Channel Islands and Isle of Man",,105,"Including Channel Islands and Isle of Man",,203,"Including Channel Islands and Isle of Man",,213,"Including Channel Islands and Isle of Man",,227,"Including Channel Islands and Isle of Man",,195,"Including Channel Islands and Isle of Man",,168,"Including Channel Islands and Isle of Man",,243,"Including Channel Islands and Isle of Man",,255,"Including Channel Islands and Isle of Man",,463,"Including Channel Islands and Isle of Man",,574,"Including Channel Islands and Isle of Man",,229,"Including Channel Islands and Isle of Man",,120,"Including Channel Islands and Isle of Man",,69,"Including Channel Islands and Isle of Man",,89,"Including Channel Islands and Isle of Man",,89,"Including Channel Islands and Isle of Man",,81,"Including Channel Islands and Isle of Man",
"Portugal",0,"Including Channel Islands and Isle of Man",,,,,2,"Including Channel Islands and Isle of Man",,1,"Including Channel Islands and Isle of Man",,0,"Including Channel Islands and Isle of Man",,7,"Including Channel Islands and Isle of Man",,6,"Including Channel Islands and Isle of Man",,3,"Including Channel Islands and Isle of Man",,2,"Including Channel Islands and Isle of Man",,1,"Including Channel Islands and Isle of Man",,2,"Including Channel Islands and Isle of Man",,1,"Including Channel Islands and Isle of Man",,3,"Including Channel Islands and Isle of Man",,5,"Including Channel Islands and Isle of Man",,3,"Including Channel Islands and Isle of Man",,3,"Including Channel Islands and Isle of Man",,2,"Including Channel Islands and Isle of Man",,4,"Including Channel Islands and Isle of Man",,5,"Including Channel Islands and Isle of Man",,2,"Including Channel Islands and Isle of Man",,2,"Including Channel Islands and Isle of Man",,2,"Including Channel Islands and Isle of Man",,2,"Including Channel Islands and Isle of Man",
"Republic of Korea",20,"Including Channel Islands and Isle of Man",,16,"Including Channel Islands and Isle of Man",,12,"Including Channel Islands and Isle of Man",,6,"Including Channel Islands and Isle of Man",,6,"Including Channel Islands and Isle of Man",,5,"Including Channel Islands and Isle of Man",,5,"Including Channel Islands and Isle of Man",,16,"Including Channel Islands and Isle of Man",,18,"Including Channel Islands and Isle of Man",,22,"Including Channel Islands and Isle of Man",,17,"Including Channel Islands and Isle of Man",,27,"Including Channel Islands and Isle of Man",,35,"Including Channel Islands and Isle of Man",,34,"Including Channel Islands and Isle of Man",,34,"Including Channel Islands and Isle of Man",,21,"Including Channel Islands and Isle of Man",,10,"Including Channel Islands and Isle of Man",,25,"Including Channel Islands and Isle of Man",,24,"Including Channel Islands and Isle of Man",,31,"Including Channel Islands and Isle of Man",,58,"Including Channel Islands and Isle of Man",,15,"Including Channel Islands and Isle of Man",,21,"Including Channel Islands and Isle of Man",
"Romania",,,,,,,,,,0,"Including Channel Islands and Isle of Man",,0,"Including Channel Islands and Isle of Man",,0,"Including Channel Islands and Isle of Man",,1,"Including Channel Islands and Isle of Man",,5,"Including Channel Islands and Isle of Man",,6,"Including Channel Islands and Isle of Man",,7,"Including Channel Islands and Isle of Man",,4,"Including Channel Islands and Isle of Man",,4,"Including Channel Islands and Isle of Man",,6,"Including Channel Islands and Isle of Man",,5,"Including Channel Islands and Isle of Man",,7,"Including Channel Islands and Isle of Man",,4,"Including Channel Islands and Isle of Man",,14,"Including Channel Islands and Isle of Man",,9,"Including Channel Islands and Isle of Man",,12,"Including Channel Islands and Isle of Man",,4,"Including Channel Islands and Isle of Man",,3,"Including Channel Islands and Isle of Man",,4,"Including Channel Islands and Isle of Man",,4,"Including Channel Islands and Isle of Man",
"Slovakia",0,"Including Channel Islands and Isle of Man",,0,"Including Channel Islands and Isle of Man",,1,"Including Channel Islands and Isle of Man",,3,"Including Channel Islands and Isle of Man",,1,"Including Channel Islands and Isle of Man",,9,"Including Channel Islands and Isle of Man",,15,"Including Channel Islands and Isle of Man",,15,"Including Channel Islands and Isle of Man",,14,"Including Channel Islands and Isle of Man",,8,"Including Channel Islands and Isle of Man",,16,"Including Channel Islands and Isle of Man",,15,"Including Channel Islands and Isle of Man",,19,"Including Channel Islands and Isle of Man",,12,"Including Channel Islands and Isle of Man",,15,"Including Channel Islands and Isle of Man",,7,"Including Channel Islands and Isle of Man",,2,"Including Channel Islands and Isle of Man",,4,"Including Channel Islands and Isle of Man",,7,"Including Channel Islands and Isle of Man",,5,"Including Channel Islands and Isle of Man",,2,"Including Channel Islands and Isle of Man",,5,"Including Channel Islands and Isle of Man",,6,"Including Channel Islands and Isle of Man",
"Slovenia",,,,0,"Including Channel Islands and Isle of Man",,0,"Including Channel Islands and Isle of Man",,,,,0,"Including Channel Islands and Isle of Man",,1,"Including Channel Islands and Isle of Man",,1,"Including Channel Islands and Isle of Man",,2,"Including Channel Islands and Isle of Man",,2,"Including Channel Islands and Isle of Man",,2,"Including Channel Islands and Isle of Man",,4,"Including Channel Islands and Isle of Man",,7,"Including Channel Islands and Isle of Man",,6,"Including Channel Islands and Isle of Man",,6,"Including Channel Islands and Isle of Man",,10,"Including Channel Islands and Isle of Man",,9,"Including Channel Islands and Isle of Man",,9,"Including Channel Islands and Isle of Man",,6,"Including Channel Islands and Isle of Man",,7,"Including Channel Islands and Isle of Man",,6,"Including Channel Islands and Isle of Man",,6,"Including Channel Islands and Isle of Man",,6,"Including Channel Islands and Isle of Man",,5,"Including Channel Islands and Isle of Man",
"Spain",9,"Including Channel Islands and Isle of Man",,1,"Including Channel Islands and Isle of Man",,21,"Including Channel Islands and Isle of Man",,37,"Including Channel Islands and Isle of Man",,33,"Including Channel Islands and Isle of Man",,20,"Including Channel Islands and Isle of Man",,23,"Including Channel Islands and Isle of Man",,12,"Including Channel Islands and Isle of Man",,18,"Including Channel Islands and Isle of Man",,16,"Including Channel Islands and Isle of Man",,19,"Including Channel Islands and Isle of Man",,20,"Including Channel Islands and Isle of Man",,24,"Including Channel Islands and Isle of Man",,23,"Including Channel Islands and Isle of Man",,27,"Including Channel Islands and Isle of Man",,33,"Including Channel Islands and Isle of Man",,46,"Including Channel Islands and Isle of Man",,55,"Including Channel Islands and Isle of Man",,63,"Including Channel Islands and Isle of Man",,15,"Including Channel Islands and Isle of Man",,18,"Including Channel Islands and Isle of Man",,25,"Including Channel Islands and Isle of Man",,26,"Including Channel Islands and Isle of Man",
"Sweden",0,"Including Channel Islands and Isle of Man",,0,"Including Channel Islands and Isle of Man",,0,"Including Channel Islands and Isle of Man",,0,"Including Channel Islands and Isle of Man",,0,"Including Channel Islands and Isle of Man",,18,"Including Channel Islands and Isle of Man",,16,"Including Channel Islands and Isle of Man",,11,"Including Channel Islands and Isle of Man",,12,"Including Channel Islands and Isle of Man",,13,"Including Channel Islands and Isle of Man",,15,"Including Channel Islands and Isle of Man",,13,"Including Channel Islands and Isle of Man",,11,"Including Channel Islands and Isle of Man",,10,"Including Channel Islands and Isle of Man",,11,"Including Channel Islands and Isle of Man",,11,"Including Channel Islands and Isle of Man",,13,"Including Channel Islands and Isle of Man",,11,"Including Channel Islands and Isle of Man",,13,"Including Channel Islands and Isle of Man",,13,"Including Channel Islands and Isle of Man",,12,"Including Channel Islands and Isle of Man",,13,"Including Channel Islands and Isle of Man",,7,"Including Channel Islands and Isle of Man",
"United States",68,"Including Puerto Rico and United States Virgin Islands",,96,"Including Puerto Rico and United States Virgin Islands",,217,"Including Puerto Rico and United States Virgin Islands",,261,"Including Puerto Rico and United States Virgin Islands",,183,"Including Puerto Rico and United States Virgin Islands",,255,"Including Puerto Rico and United States Virgin Islands",,227,"Including Puerto Rico and United States Virgin Islands",,130,"Including Puerto Rico and United States Virgin Islands",,96,"Including Puerto Rico and United States Virgin Islands",,83,"Including Puerto Rico and United States Virgin Islands",,89,"Including Puerto Rico and United States Virgin Islands",,95,"Including Puerto Rico and United States Virgin Islands",,97,"Including Puerto Rico and United States Virgin Islands",,102,"Including Puerto Rico and United States Virgin Islands",,108,"Including Puerto Rico and United States Virgin Islands",,132,"Including Puerto Rico and United States Virgin Islands",,204,"Including Puerto Rico and United States Virgin Islands",,166,"Including Puerto Rico and United States Virgin Islands",,176,"Including Puerto Rico and United States Virgin Islands",,134,"Including Puerto Rico and United States Virgin Islands",,178,"Including Puerto Rico and United States Virgin Islands",,128,"Including Puerto Rico and United States Virgin Islands",,118,"Including Puerto Rico and United States Virgin Islands",
"European Union (2020 …)",287,,,243,,,347,,,431,,,326,,,2328,,,2605,,,1986,,,2140,,,2053,,,2010,,,1901,,,1748,,,1734,,,1491,,,1633,,,1666,,,1264,,,1050,,,919,,,941,,,940,,,953,,
