Economy_Label,2002_US_at_current_prices_in_millions_Value,2002_US_at_current_prices_Footnote,2002_US_at_current_prices_MissingValue,2003_US_at_current_prices_in_millions_Value,2003_US_at_current_prices_Footnote,2003_US_at_current_prices_MissingValue,2004_US_at_current_prices_in_millions_Value,2004_US_at_current_prices_Footnote,2004_US_at_current_prices_MissingValue,2005_US_at_current_prices_in_millions_Value,2005_US_at_current_prices_Footnote,2005_US_at_current_prices_MissingValue,2006_US_at_current_prices_in_millions_Value,2006_US_at_current_prices_Footnote,2006_US_at_current_prices_MissingValue,2007_US_at_current_prices_in_millions_Value,2007_US_at_current_prices_Footnote,2007_US_at_current_prices_MissingValue,2008_US_at_current_prices_in_millions_Value,2008_US_at_current_prices_Footnote,2008_US_at_current_prices_MissingValue,2009_US_at_current_prices_in_millions_Value,2009_US_at_current_prices_Footnote,2009_US_at_current_prices_MissingValue,2010_US_at_current_prices_in_millions_Value,2010_US_at_current_prices_Footnote,2010_US_at_current_prices_MissingValue,2011_US_at_current_prices_in_millions_Value,2011_US_at_current_prices_Footnote,2011_US_at_current_prices_MissingValue,2012_US_at_current_prices_in_millions_Value,2012_US_at_current_prices_Footnote,2012_US_at_current_prices_MissingValue,2013_US_at_current_prices_in_millions_Value,2013_US_at_current_prices_Footnote,2013_US_at_current_prices_MissingValue,2014_US_at_current_prices_in_millions_Value,2014_US_at_current_prices_Footnote,2014_US_at_current_prices_MissingValue,2015_US_at_current_prices_in_millions_Value,2015_US_at_current_prices_Footnote,2015_US_at_current_prices_MissingValue,2016_US_at_current_prices_in_millions_Value,2016_US_at_current_prices_Footnote,2016_US_at_current_prices_MissingValue,2017_US_at_current_prices_in_millions_Value,2017_US_at_current_prices_Footnote,2017_US_at_current_prices_MissingValue,2018_US_at_current_prices_in_millions_Value,2018_US_at_current_prices_Footnote,2018_US_at_current_prices_MissingValue,2019_US_at_current_prices_in_millions_Value,2019_US_at_current_prices_Footnote,2019_US_at_current_prices_MissingValue,2020_US_at_current_prices_in_millions_Value,2020_US_at_current_prices_Footnote,2020_US_at_current_prices_MissingValue,2021_US_at_current_prices_in_millions_Value,2021_US_at_current_prices_Footnote,2021_US_at_current_prices_MissingValue,2022_US_at_current_prices_in_millions_Value,2022_US_at_current_prices_Footnote,2022_US_at_current_prices_MissingValue,2023_US_at_current_prices_in_millions_Value,2023_US_at_current_prices_Footnote,2023_US_at_current_prices_MissingValue,2024_US_at_current_prices_in_millions_Value,2024_US_at_current_prices_Footnote,2024_US_at_current_prices_MissingValue
"Lithuania",,,,0,"Including Puerto Rico and United States Virgin Islands",,0,"Including Puerto Rico and United States Virgin Islands",,0,"Including Puerto Rico and United States Virgin Islands",,0,"Including Puerto Rico and United States Virgin Islands",,0,"Including Puerto Rico and United States Virgin Islands",,0,"Including Puerto Rico and United States Virgin Islands",,0,"Including Puerto Rico and United States Virgin Islands",,0,"Including Puerto Rico and United States Virgin Islands",,0,"Including Puerto Rico and United States Virgin Islands",,0,"Including Puerto Rico and United States Virgin Islands",,0,"Including Puerto Rico and United States Virgin Islands",,0,"Including Puerto Rico and United States Virgin Islands",,0,"Including Puerto Rico and United States Virgin Islands",,0,"Including Puerto Rico and United States Virgin Islands",,0,"Including Puerto Rico and United States Virgin Islands",,0,"Including Puerto Rico and United States Virgin Islands",,0,"Including Puerto Rico and United States Virgin Islands",,0,"Including Puerto Rico and United States Virgin Islands",,1,"Including Puerto Rico and United States Virgin Islands",,3,"Including Puerto Rico and United States Virgin Islands",,0,"Including Puerto Rico and United States Virgin Islands",,0,"Including Puerto Rico and United States Virgin Islands",
"Luxembourg",5,"Including Puerto Rico and United States Virgin Islands",,1,"Including Puerto Rico and United States Virgin Islands",,0,"Including Puerto Rico and United States Virgin Islands",,2,"Including Puerto Rico and United States Virgin Islands",,1,"Including Puerto Rico and United States Virgin Islands",,1,"Including Puerto Rico and United States Virgin Islands",,0,"Including Puerto Rico and United States Virgin Islands",,0,"Including Puerto Rico and United States Virgin Islands",,0,"Including Puerto Rico and United States Virgin Islands",,0,"Including Puerto Rico and United States Virgin Islands",,0,"Including Puerto Rico and United States Virgin Islands",,0,"Including Puerto Rico and United States Virgin Islands",,0,"Including Puerto Rico and United States Virgin Islands",,0,"Including Puerto Rico and United States Virgin Islands",,0,"Including Puerto Rico and United States Virgin Islands",,,,,6,"Including Puerto Rico and United States Virgin Islands",,0,"Including Puerto Rico and United States Virgin Islands",,0,"Including Puerto Rico and United States Virgin Islands",,0,"Including Puerto Rico and United States Virgin Islands",,0,"Including Puerto Rico and United States Virgin Islands",,0,"Including Puerto Rico and United States Virgin Islands",,0,"Including Puerto Rico and United States Virgin Islands",
"Malta",0,"Including Puerto Rico and United States Virgin Islands",,0,"Including Puerto Rico and United States Virgin Islands",,0,"Including Puerto Rico and United States Virgin Islands",,0,"Including Puerto Rico and United States Virgin Islands",,0,"Including Puerto Rico and United States Virgin Islands",,,,,0,"Including Puerto Rico and United States Virgin Islands",,0,"Including Puerto Rico and United States Virgin Islands",,0,"Including Puerto Rico and United States Virgin Islands",,0,"Including Puerto Rico and United States Virgin Islands",,0,"Including Puerto Rico and United States Virgin Islands",,0,"Including Puerto Rico and United States Virgin Islands",,0,"Including Puerto Rico and United States Virgin Islands",,0,"Including Puerto Rico and United States Virgin Islands",,0,"Including Puerto Rico and United States Virgin Islands",,0,"Including Puerto Rico and United States Virgin Islands",,0,"Including Puerto Rico and United States Virgin Islands",,0,"Including Puerto Rico and United States Virgin Islands",,0,"Including Puerto Rico and United States Virgin Islands",,,,,0,"Including Puerto Rico and United States Virgin Islands",,0,"Including Puerto Rico and United States Virgin Islands",,0,"Including Puerto Rico and United States Virgin Islands",
"Netherlands (Kingdom of the)",5,"Including Puerto Rico and United States Virgin Islands",,5,"Including Puerto Rico and United States Virgin Islands",,4,"Including Puerto Rico and United States Virgin Islands",,4,"Including Puerto Rico and United States Virgin Islands",,7,"Including Puerto Rico and United States Virgin Islands",,85,"Including Puerto Rico and United States Virgin Islands",,55,"Including Puerto Rico and United States Virgin Islands",,37,"Including Puerto Rico and United States Virgin Islands",,37,"Including Puerto Rico and United States Virgin Islands",,21,"Including Puerto Rico and United States Virgin Islands",,14,"Including Puerto Rico and United States Virgin Islands",,20,"Including Puerto Rico and United States Virgin Islands",,26,"Including Puerto Rico and United States Virgin Islands",,26,"Including Puerto Rico and United States Virgin Islands",,36,"Including Puerto Rico and United States Virgin Islands",,53,"Including Puerto Rico and United States Virgin Islands",,52,"Including Puerto Rico and United States Virgin Islands",,74,"Including Puerto Rico and United States Virgin Islands",,46,"Including Puerto Rico and United States Virgin Islands",,56,"Including Puerto Rico and United States Virgin Islands",,61,"Including Puerto Rico and United States Virgin Islands",,44,"Including Puerto Rico and United States Virgin Islands",,91,"Including Puerto Rico and United States Virgin Islands",
"Poland",,,,0,"Including Puerto Rico and United States Virgin Islands",,0,"Including Puerto Rico and United States Virgin Islands",,0,"Including Puerto Rico and United States Virgin Islands",,0,"Including Puerto Rico and United States Virgin Islands",,9,"Including Puerto Rico and United States Virgin Islands",,13,"Including Puerto Rico and United States Virgin Islands",,5,"Including Puerto Rico and United States Virgin Islands",,4,"Including Puerto Rico and United States Virgin Islands",,8,"Including Puerto Rico and United States Virgin Islands",,9,"Including Puerto Rico and United States Virgin Islands",,11,"Including Puerto Rico and United States Virgin Islands",,13,"Including Puerto Rico and United States Virgin Islands",,25,"Including Puerto Rico and United States Virgin Islands",,26,"Including Puerto Rico and United States Virgin Islands",,40,"Including Puerto Rico and United States Virgin Islands",,74,"Including Puerto Rico and United States Virgin Islands",,56,"Including Puerto Rico and United States Virgin Islands",,43,"Including Puerto Rico and United States Virgin Islands",,40,"Including Puerto Rico and United States Virgin Islands",,35,"Including Puerto Rico and United States Virgin Islands",,20,"Including Puerto Rico and United States Virgin Islands",,15,"Including Puerto Rico and United States Virgin Islands",
"Portugal",0,"Including Puerto Rico and United States Virgin Islands",,0,"Including Puerto Rico and United States Virgin Islands",,0,"Including Puerto Rico and United States Virgin Islands",,0,"Including Puerto Rico and United States Virgin Islands",,0,"Including Puerto Rico and United States Virgin Islands",,0,"Including Puerto Rico and United States Virgin Islands",,0,"Including Puerto Rico and United States Virgin Islands",,0,"Including Puerto Rico and United States Virgin Islands",,0,"Including Puerto Rico and United States Virgin Islands",,0,"Including Puerto Rico and United States Virgin Islands",,1,"Including Puerto Rico and United States Virgin Islands",,1,"Including Puerto Rico and United States Virgin Islands",,1,"Including Puerto Rico and United States Virgin Islands",,2,"Including Puerto Rico and United States Virgin Islands",,1,"Including Puerto Rico and United States Virgin Islands",,1,"Including Puerto Rico and United States Virgin Islands",,2,"Including Puerto Rico and United States Virgin Islands",,1,"Including Puerto Rico and United States Virgin Islands",,1,"Including Puerto Rico and United States Virgin Islands",,1,"Including Puerto Rico and United States Virgin Islands",,1,"Including Puerto Rico and United States Virgin Islands",,1,"Including Puerto Rico and United States Virgin Islands",,1,"Including Puerto Rico and United States Virgin Islands",
"Republic of Korea",85,"Including Puerto Rico and United States Virgin Islands",,86,"Including Puerto Rico and United States Virgin Islands",,94,"Including Puerto Rico and United States Virgin Islands",,152,"Including Puerto Rico and United States Virgin Islands",,108,"Including Puerto Rico and United States Virgin Islands",,213,"Including Puerto Rico and United States Virgin Islands",,220,"Including Puerto Rico and United States Virgin Islands",,163,"Including Puerto Rico and United States Virgin Islands",,185,"Including Puerto Rico and United States Virgin Islands",,161,"Including Puerto Rico and United States Virgin Islands",,151,"Including Puerto Rico and United States Virgin Islands",,131,"Including Puerto Rico and United States Virgin Islands",,153,"Including Puerto Rico and United States Virgin Islands",,169,"Including Puerto Rico and United States Virgin Islands",,113,"Including Puerto Rico and United States Virgin Islands",,118,"Including Puerto Rico and United States Virgin Islands",,487,"Including Puerto Rico and United States Virgin Islands",,1591,"Including Puerto Rico and United States Virgin Islands",,4079,"Including Puerto Rico and United States Virgin Islands",,5104,"Including Puerto Rico and United States Virgin Islands",,5756,"Including Puerto Rico and United States Virgin Islands",,1622,"Including Puerto Rico and United States Virgin Islands",,5446,"Including Puerto Rico and United States Virgin Islands",
"Romania",,,,,,,0,"Including Puerto Rico and United States Virgin Islands",,,,,0,"Including Puerto Rico and United States Virgin Islands",,5,"Including Puerto Rico and United States Virgin Islands",,5,"Including Puerto Rico and United States Virgin Islands",,3,"Including Puerto Rico and United States Virgin Islands",,3,"Including Puerto Rico and United States Virgin Islands",,2,"Including Puerto Rico and United States Virgin Islands",,1,"Including Puerto Rico and United States Virgin Islands",,1,"Including Puerto Rico and United States Virgin Islands",,1,"Including Puerto Rico and United States Virgin Islands",,1,"Including Puerto Rico and United States Virgin Islands",,3,"Including Puerto Rico and United States Virgin Islands",,1,"Including Puerto Rico and United States Virgin Islands",,1,"Including Puerto Rico and United States Virgin Islands",,1,"Including Puerto Rico and United States Virgin Islands",,3,"Including Puerto Rico and United States Virgin Islands",,2,"Including Puerto Rico and United States Virgin Islands",,2,"Including Puerto Rico and United States Virgin Islands",,2,"Including Puerto Rico and United States Virgin Islands",,1,"Including Puerto Rico and United States Virgin Islands",
"Slovakia",,,,0,"Including Puerto Rico and United States Virgin Islands",,0,"Including Puerto Rico and United States Virgin Islands",,0,"Including Puerto Rico and United States Virgin Islands",,1,"Including Puerto Rico and United States Virgin Islands",,0,"Including Puerto Rico and United States Virgin Islands",,1,"Including Puerto Rico and United States Virgin Islands",,0,"Including Puerto Rico and United States Virgin Islands",,2,"Including Puerto Rico and United States Virgin Islands",,0,"Including Puerto Rico and United States Virgin Islands",,0,"Including Puerto Rico and United States Virgin Islands",,3,"Including Puerto Rico and United States Virgin Islands",,2,"Including Puerto Rico and United States Virgin Islands",,6,"Including Puerto Rico and United States Virgin Islands",,4,"Including Puerto Rico and United States Virgin Islands",,4,"Including Puerto Rico and United States Virgin Islands",,2,"Including Puerto Rico and United States Virgin Islands",,2,"Including Puerto Rico and United States Virgin Islands",,3,"Including Puerto Rico and United States Virgin Islands",,2,"Including Puerto Rico and United States Virgin Islands",,3,"Including Puerto Rico and United States Virgin Islands",,3,"Including Puerto Rico and United States Virgin Islands",,2,"Including Puerto Rico and United States Virgin Islands",
"Slovenia",0,"Including Puerto Rico and United States Virgin Islands",,0,"Including Puerto Rico and United States Virgin Islands",,0,"Including Puerto Rico and United States Virgin Islands",,,,,0,"Including Puerto Rico and United States Virgin Islands",,0,"Including Puerto Rico and United States Virgin Islands",,0,"Including Puerto Rico and United States Virgin Islands",,0,"Including Puerto Rico and United States Virgin Islands",,0,"Including Puerto Rico and United States Virgin Islands",,0,"Including Puerto Rico and United States Virgin Islands",,0,"Including Puerto Rico and United States Virgin Islands",,0,"Including Puerto Rico and United States Virgin Islands",,1,"Including Puerto Rico and United States Virgin Islands",,0,"Including Puerto Rico and United States Virgin Islands",,0,"Including Puerto Rico and United States Virgin Islands",,1,"Including Puerto Rico and United States Virgin Islands",,0,"Including Puerto Rico and United States Virgin Islands",,0,"Including Puerto Rico and United States Virgin Islands",,1,"Including Puerto Rico and United States Virgin Islands",,0,"Including Puerto Rico and United States Virgin Islands",,1,"Including Puerto Rico and United States Virgin Islands",,1,"Including Puerto Rico and United States Virgin Islands",,1,"Including Puerto Rico and United States Virgin Islands",
